Name,Avg_Putts_Rd,Low_Total_Rd
Charl Schwartzel,29.83,26
Scott Brown,29.83,28
Gary Woodland,29.83,27
Russell Knox,29.86,25
Matthew NeSmith,29.88,24
Aaron Rai,29.9,27
Sepp Straka,29.93,26
Emiliano Grillo,29.94,26
Tomoharu Otsuki,30,28
Satoshi Kodaira,30,28
Russell Henley,30,27
Kevin Stadler,30,26
Sangmoon Bae,30,28
Arjun Atwal,30,29
Austin Smotherman,30,27
Rasmus Hojgaard,30,25
Matt Fitzpatrick,30,27
Will Zalatoris,30.07,24
Bill Haas,30.08,27
Jim Herman,30.33,28
Kyle Stanley,30.5,29
Joseph Bramlett,30.5,28
Kevin Chappell,30.5,27
D.A. Points,30.5,28
Ryutaro Nagano,30.5,28
Kyle Wilshire,30.5,29
Wesley Bryan,30.75,29
Ryo Hisatsune,30.75,29
Michael Gligic,31,28
Ryan Palmer,31.5,29
John Senden,32,30
Callum Tarren,32,29
John Merrick,32.25,29
