Name,Avg_SG_Putt,Total_SG_Putt,Measured_Rounds
Kurt Kitayama,-0.413,-2.478,6
David Hearn,-0.427,-0.854,2
Tommy Fleetwood,-0.433,-1.734,4
Alex Smalley,-0.442,-4.416,10
Sahith Theegala,-0.451,-4.511,10
Carlos Ortiz,-0.456,-4.563,10
Lee Hodges,-0.457,-4.57,10
Brian Stuard,-0.459,-2.751,6
Chez Reavie,-0.504,-4.032,8
Kevin Tway,-0.517,-4.137,8
Matt Wallace,-0.519,-3.115,6
Brice Garnett,-0.532,-4.255,8
David Skinns,-0.582,-3.494,6
Vaughn Taylor,-0.604,-2.414,4
Adam Svensson,-0.672,-5.374,8
Kiradech Aphibarnrat,-0.673,-2.693,4
Mito Pereira,-0.681,-8.168,12
Rasmus Hojgaard,-0.684,-4.102,6
Russell Knox,-0.695,-6.949,10
Bill Haas,-0.695,-5.556,8
Sepp Straka,-0.696,-4.174,6
Luke List,-0.706,-7.061,10
Justin Thomas,-0.743,-2.971,4
Kevin Chappell,-0.758,-4.548,6
Matthew NeSmith,-0.758,-7.583,10
Louis Oosthuizen,-0.759,-6.069,8
Stewart Cink,-0.774,-4.644,6
Sanghun Shin,-0.798,-3.193,4
Russell Henley,-0.801,-6.409,8
Sebasti‡n Mu–oz,-0.848,-8.482,10
Ben Martin,-0.854,-1.709,2
Chris Stroud,-0.868,-1.737,2
Lucas Glover,-0.873,-10.481,12
Chase Seiffert,-0.888,-3.551,4
James Hahn,-0.932,-3.729,4
Scott Piercy,-0.945,-7.561,8
Aaron Rai,-1.036,-6.217,6
Yoseop Seo,-1.045,-4.181,4
Eugenio Lopez-Chacarra,-1.053,-4.213,4
J.T. Poston,-1.071,-6.423,6
Hideki Matsuyama,-1.099,-13.191,12
Hanbyeol Kim,-1.198,-4.793,4
Kyle Stanley,-1.216,-4.863,4
Charl Schwartzel,-1.42,-8.518,6
Harris English,-1.439,-7.195,5
Tony Finau,-1.465,-5.861,4
"Ted Potter, Jr.",-1.466,-2.932,2
Branden Grace,-1.5,-6.001,4
Joseph Bramlett,-1.538,-15.378,10
Kramer Hickok,-1.543,-6.174,4
Michael Gligic,-1.641,-9.847,6
Callum Tarren,-1.67,-6.679,4
Danny Lee,-1.718,-3.436,2
Brett Drewitt,-1.856,-7.425,4
Austin Smotherman,-1.952,-7.808,4
Ryan Palmer,-2.337,-4.673,2
Kevin Stadler,-2.442,-9.768,4
