Name,Round,Avg_Score,,,
Kevin Kisner,6,72.453,,,
Sebasti‡n Mu–oz,14,72.502,,,
Doc Redman,12,72.519,,,
Andrew Landry,8,72.521,,,
Shane Lowry,4,72.568,,,
J.T. Poston,6,72.616,,,
Patton Kizzire,12,72.725,,,
Vaughn Taylor,6,72.725,,,
Harris English,5,72.754,,,
John Huh,6,72.787,,,
Kevin Na,6,72.806,,,
Joshua Creel,4,72.812,,,
Justin Rose,4,72.818,,,
Martin Trainer,8,72.844,,,
Chris Stroud,4,72.905,,,
Sepp Straka,14,72.932,,,
Stewart Cink,6,72.953,,,
Kevin Tway,8,73.053,,,
Bo Van Pelt,4,73.062,,,
Jared Wolfe,6,73.116,,,
Brian Harman,6,73.12,,,
Jonas Blixt,8,73.156,,,
Michael Gligic,6,73.33,,,
Zach Johnson,4,73.534,,,
Jason Day,4,73.568,,,
Richy Werenski,6,73.614,,,
Ryuji Imada,4,73.766,,,
John Merrick,4,73.822,,,
Callum Tarren,5,74.109,,,
Kelly Kraft,5,74.176,,,
Kevin Chappell,6,75.283,,,
"Ted Potter, Jr.",4,75.405,,,
Charl Schwartzel,6,75.62,,,
Kevin Stadler,6,77.218,,,
